day,suggested_date,channel,asset,caption,hashtags,landing_url,status,owner,metric
D6,2026-06-03,avatar,TBD,正念练习口播：把注意力带回身体。,AI数字人 正念 心理学教育,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=mindfulness_scan,planned,avatar,完播率/反思开始
D7,2026-06-04,xhs,TBD,我用 7 天记录梦境后发现的模式。,梦境记录 成长复盘 自我观察,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=week_review,planned,content,评论问题/主页点击
D7,2026-06-04,douyin,TBD,成长游戏地图怎么用：从一个任务开始，而不是一次改变人生。,成长地图 心理学课程 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=week_review,planned,video,完播率/课程点击
D7,2026-06-04,avatar,TBD,一周复盘模板：记录、学习、行动、下一步。,AI数字人 成长复盘 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=week_review,planned,avatar,复盘完成
D8,2026-06-05,xhs,TBD,月度成长报告应该长什么样。,成长会员 月度报告 心理学学习,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=membership_report,planned,content,会员点击
D8,2026-06-05,douyin,TBD,你的成长需要被看见：为什么记录比打鸡血更重要。,成长会员 自我成长 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=membership_report,planned,video,会员点击
D8,2026-06-05,avatar,TBD,成长会员介绍：课程、复盘、月度报告。,AI数字人 成长会员 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=membership_report,planned,avatar,会员点击
D9,2026-06-06,xhs,TBD,为什么越亲密越容易生气。,亲密关系 依恋 情绪管理,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=attachment,planned,content,收藏率/课程点击
D9,2026-06-06,douyin,TBD,依恋风格 30 秒解释：你不是矫情，你是在保护自己。,依恋关系 心理学 亲密关系,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=attachment,planned,video,完播率/课程点击
D9,2026-06-06,avatar,TBD,依恋课程切片：安全感如何被学习。,AI数字人 依恋课程 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=attachment,planned,avatar,课程点击
D10,2026-06-07,xhs,TBD,情绪过载时，不要先讲道理。,情绪调节 情绪急救 心理工具,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=emotion_first_aid,planned,content,收藏率/反思开始
D10,2026-06-07,douyin,TBD,情绪急救 3 步：命名、降速、最小行动。,情绪急救 情绪管理 自我成长,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=emotion_first_aid,planned,video,完播率/反思开始
D10,2026-06-07,avatar,TBD,情绪心理学导入：感受不是敌人，是信号。,AI数字人 情绪心理学 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=emotion_first_aid,planned,avatar,反思开始
D11,2026-06-08,xhs,TBD,5 个心理学概念，帮你更准确描述自己。,心理学概念 知识库 自我理解,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=knowledge,planned,content,知识库点击
D11,2026-06-08,douyin,TBD,今天学一个心理学词：为什么命名会降低混乱感。,心理学知识 自我观察 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=knowledge,planned,video,知识库点击
D11,2026-06-08,avatar,TBD,知识库入口介绍：把模糊感受变成可学习概念。,AI数字人 心理学知识 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=knowledge,planned,avatar,知识库点击
D12,2026-06-09,xhs,TBD,AI 陪伴适合什么时刻用？边界比功能更重要。,AI陪伴 心理学教育 反思日志,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=ai_companion_boundary,planned,content,反思开始
D12,2026-06-09,douyin,TBD,AI 不能替代咨询，但能陪你做复盘。,AI陪伴 反思日志 心理学教育,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=ai_companion_boundary,planned,video,反思开始
D12,2026-06-09,avatar,TBD,AI 陪伴边界说明：记录、整理、复盘，不诊断。,AI数字人 AI陪伴 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=ai_companion_boundary,planned,avatar,反思开始
D13,2026-06-10,xhs,TBD,学校心理课可以怎么做得更轻。,学校心理课 心理教育 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=institution,planned,content,机构线索
D13,2026-06-10,douyin,TBD,企业 EAP 不只是一张热线卡，还需要可学习和可复盘。,企业EAP 心理健康 机构方案,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=institution,planned,video,机构线索
D13,2026-06-10,avatar,TBD,机构课程包介绍：课程、工具、匿名趋势报告。,AI数字人 机构方案 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=institution,planned,avatar,机构线索
D14,2026-06-11,xhs,TBD,14 天后，我更理解自己的梦和情绪了。,成长复盘 梦境记录 心理学学习,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=launch_review,planned,content,会员点击
D14,2026-06-11,douyin,TBD,从测评到课程到复盘，DreamLab 的完整闭环。,DreamLab 心理学课程 成长复盘,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=launch_review,planned,video,会员点击
D14,2026-06-11,avatar,TBD,DreamLab 完整闭环：工具、课程、报告、会员。,AI数字人 DreamLab 成长会员,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=launch_review,planned,avatar,会员点击
